Humidity,Gaming_Hours,Physical_Activity_Hours,Age,Screen_Time_Hours,Source,Step_count,Quality of Sleep,User_ID,Stress_Level,Occupation,Support_Systems_Access,Stress Level,Mental_Health_Status,Temperature,Gender,Sleep Duration,Work_Environment_Impact,Sleep_Hours,Physical Activity Level,Person ID,Technology_Usage_Hours,Online_Support_Usage,Social_Media_Usage_Hours,Unnamed: 8
,1.45,1.97,58,10.68,tech.csv,,,USER-00921,Medium,,Yes,,Good,,Other,,Negative,4.93,,,6.31,No,5.04,
,4.14,5.08,32,1.4,tech.csv,,,USER-00922,High,,No,,Fair,,Other,,Neutral,5.61,,,8.28,Yes,2.09,
,0.12,9.43,25,14.19,tech.csv,,,USER-00923,Medium,,No,,Poor,,Male,,Positive,5.21,,,11.42,Yes,3.42,
,1.98,2.2,49,12.02,tech.csv,,,USER-00924,Low,,No,,Excellent,,Other,,Negative,8.26,,,7.3,Yes,5.46,
,4.99,4.39,37,6.99,tech.csv,,,USER-00925,High,,No,,Good,,Male,,Positive,4.26,,,10.68,No,4.78,
,4.2,8.85,18,6.1,tech.csv,,,USER-00926,Medium,,No,,Excellent,,Male,,Neutral,7.59,,,1.06,Yes,5.85,
,4.62,8.79,19,9.95,tech.csv,,,USER-00927,High,,Yes,,Fair,,Male,,Neutral,5.15,,,4.83,Yes,2.07,
,0.4,8.4,27,5.36,tech.csv,,,USER-00928,Low,,No,,Fair,,Male,,Neutral,8.25,,,7.78,No,2.66,
,2.51,7.4,61,2.67,tech.csv,,,USER-00929,High,,Yes,,Poor,,Other,,Negative,7.91,,,11.22,Yes,5.41,
,1.57,9.61,25,2.14,tech.csv,,,USER-00930,Medium,,No,,Poor,,Other,,Neutral,7.0,,,10.59,Yes,5.94,
,0.87,3.48,34,2.04,tech.csv,,,USER-00931,Medium,,No,,Fair,,Other,,Neutral,5.74,,,6.18,Yes,3.39,
,1.24,2.36,33,2.57,tech.csv,,,USER-00932,Medium,,No,,Fair,,Male,,Positive,5.15,,,1.14,No,4.64,
,4.81,7.69,34,4.79,tech.csv,,,USER-00933,Low,,No,,Poor,,Female,,Positive,5.68,,,2.96,No,3.52,
,3.24,0.15,33,2.03,tech.csv,,,USER-00934,Medium,,Yes,,Good,,Other,,Negative,6.55,,,5.46,No,2.21,
,3.01,9.23,65,5.95,tech.csv,,,USER-00935,Low,,No,,Good,,Other,,Negative,8.92,,,1.61,Yes,5.0,
,3.86,6.97,40,8.58,tech.csv,,,USER-00936,Low,,Yes,,Poor,,Other,,Positive,5.17,,,7.93,Yes,2.21,
,1.35,1.91,32,4.57,tech.csv,,,USER-00937,Low,,Yes,,Fair,,Male,,Positive,7.51,,,4.91,Yes,2.07,
,4.09,5.26,24,7.61,tech.csv,,,USER-00938,High,,Yes,,Excellent,,Male,,Negative,6.49,,,7.53,No,3.32,
,2.83,5.2,34,10.02,tech.csv,,,USER-00939,Medium,,Yes,,Excellent,,Male,,Negative,8.6,,,6.95,Yes,4.03,
,3.08,4.39,55,12.87,tech.csv,,,USER-00940,Medium,,Yes,,Fair,,Female,,Negative,8.59,,,11.5,Yes,3.68,
,2.26,8.04,65,3.42,tech.csv,,,USER-00941,High,,No,,Excellent,,Female,,Neutral,4.77,,,1.26,No,6.83,
,0.84,9.89,33,6.7,tech.csv,,,USER-00942,Low,,Yes,,Fair,,Male,,Positive,4.54,,,7.04,No,1.37,
,1.06,3.71,51,2.03,tech.csv,,,USER-00943,Medium,,No,,Excellent,,Female,,Neutral,6.63,,,5.22,No,4.31,
,1.14,0.79,18,2.99,tech.csv,,,USER-00944,High,,No,,Good,,Female,,Positive,7.01,,,8.13,No,2.23,
,1.28,9.33,35,13.35,tech.csv,,,USER-00945,Medium,,No,,Excellent,,Female,,Neutral,6.66,,,6.87,Yes,1.99,
,0.44,3.09,31,7.61,tech.csv,,,USER-00946,High,,No,,Fair,,Female,,Neutral,7.59,,,8.34,Yes,3.27,
,0.51,8.03,43,5.88,tech.csv,,,USER-00947,Medium,,Yes,,Excellent,,Male,,Negative,4.31,,,2.86,No,6.4,
,1.92,3.7,51,9.59,tech.csv,,,USER-00948,Low,,Yes,,Good,,Other,,Positive,7.97,,,1.44,No,1.22,
,3.82,2.69,63,4.68,tech.csv,,,USER-00949,Low,,No,,Good,,Male,,Neutral,4.61,,,9.49,No,6.3,
,3.0,2.79,59,2.29,tech.csv,,,USER-00950,High,,No,,Poor,,Other,,Neutral,5.49,,,11.17,No,7.68,
,0.24,0.37,53,7.75,tech.csv,,,USER-00951,Medium,,Yes,,Good,,Other,,Negative,8.43,,,3.03,Yes,7.52,
,4.25,0.44,54,6.61,tech.csv,,,USER-00952,Low,,No,,Poor,,Female,,Neutral,7.26,,,10.55,No,6.0,
,1.78,4.45,57,1.8,tech.csv,,,USER-00953,High,,Yes,,Good,,Other,,Neutral,5.39,,,3.84,No,1.28,
,4.73,0.91,55,8.56,tech.csv,,,USER-00954,High,,No,,Fair,,Female,,Positive,6.1,,,3.81,No,5.48,
,0.32,7.98,50,5.9,tech.csv,,,USER-00955,Low,,No,,Good,,Female,,Negative,5.83,,,6.1,Yes,2.73,
,3.91,6.4,63,2.23,tech.csv,,,USER-00956,Low,,Yes,,Excellent,,Female,,Negative,4.69,,,9.11,No,3.0,
,3.12,2.87,45,5.13,tech.csv,,,USER-00957,High,,Yes,,Poor,,Female,,Positive,4.21,,,11.75,No,6.57,
,4.1,5.03,45,14.29,tech.csv,,,USER-00958,Low,,No,,Fair,,Other,,Negative,8.34,,,2.95,No,3.93,
,3.91,2.83,24,11.0,tech.csv,,,USER-00959,Low,,Yes,,Fair,,Male,,Negative,7.11,,,10.04,No,5.99,
,4.01,7.89,43,12.58,tech.csv,,,USER-00960,High,,Yes,,Good,,Male,,Negative,5.51,,,5.31,No,5.15,
,4.49,2.35,55,14.62,tech.csv,,,USER-00961,Low,,Yes,,Good,,Male,,Negative,8.85,,,11.73,Yes,1.56,
,0.86,4.43,37,11.67,tech.csv,,,USER-00962,Low,,Yes,,Poor,,Male,,Positive,4.02,,,1.26,Yes,7.73,
,1.43,2.08,54,3.23,tech.csv,,,USER-00963,Low,,Yes,,Excellent,,Male,,Negative,7.59,,,9.94,Yes,6.17,
,0.86,4.61,53,6.15,tech.csv,,,USER-00964,High,,No,,Excellent,,Female,,Neutral,6.7,,,10.89,No,5.25,
,1.08,6.07,21,13.24,tech.csv,,,USER-00965,High,,No,,Poor,,Other,,Positive,4.15,,,2.24,Yes,5.57,
,4.16,5.18,58,3.97,tech.csv,,,USER-00966,Low,,No,,Good,,Male,,Negative,7.99,,,10.31,Yes,6.65,
,1.06,0.86,53,9.71,tech.csv,,,USER-00967,Low,,Yes,,Fair,,Other,,Positive,5.16,,,4.11,Yes,0.66,
,0.88,9.46,29,1.47,tech.csv,,,USER-00968,Low,,No,,Excellent,,Other,,Neutral,4.28,,,2.38,Yes,1.04,
,3.49,5.41,22,1.09,tech.csv,,,USER-00969,High,,No,,Poor,,Other,,Negative,5.61,,,10.91,No,7.2,
,3.18,5.8,41,14.59,tech.csv,,,USER-00970,High,,No,,Fair,,Other,,Neutral,6.96,,,1.42,No,1.8,
,2.53,4.11,43,14.61,tech.csv,,,USER-00971,Low,,No,,Fair,,Female,,Positive,4.6,,,5.59,Yes,6.42,
,3.11,2.26,40,7.6,tech.csv,,,USER-00972,High,,No,,Fair,,Other,,Neutral,5.61,,,2.88,No,6.88,
,2.41,8.0,54,11.19,tech.csv,,,USER-00973,Medium,,No,,Poor,,Other,,Negative,5.67,,,8.18,Yes,3.21,
,3.3,8.96,34,1.41,tech.csv,,,USER-00974,Medium,,Yes,,Poor,,Female,,Positive,8.05,,,11.68,Yes,5.2,
,4.5,3.71,64,13.59,tech.csv,,,USER-00975,Low,,Yes,,Good,,Other,,Positive,5.54,,,2.42,No,0.51,
,1.48,1.54,63,5.35,tech.csv,,,USER-00976,Low,,Yes,,Fair,,Male,,Negative,8.17,,,5.49,Yes,5.08,
,0.67,1.38,50,1.61,tech.csv,,,USER-00977,Medium,,Yes,,Fair,,Other,,Neutral,5.02,,,3.15,Yes,5.45,
,4.14,1.55,39,3.46,tech.csv,,,USER-00978,High,,No,,Excellent,,Female,,Negative,8.43,,,8.72,Yes,5.95,
,0.4,6.52,19,7.51,tech.csv,,,USER-00979,Medium,,Yes,,Good,,Other,,Positive,7.53,,,3.46,Yes,7.18,
,2.83,9.0,57,6.16,tech.csv,,,USER-00980,Low,,Yes,,Poor,,Male,,Neutral,5.51,,,10.64,No,2.16,
,0.7,0.53,27,6.53,tech.csv,,,USER-00981,Low,,No,,Good,,Other,,Positive,4.96,,,4.6,No,1.56,
,4.53,0.05,18,10.85,tech.csv,,,USER-00982,High,,No,,Good,,Female,,Positive,6.81,,,8.14,Yes,2.17,
,3.17,6.85,62,4.03,tech.csv,,,USER-00983,Low,,Yes,,Excellent,,Other,,Negative,5.69,,,10.08,Yes,1.66,
,4.5,5.94,62,5.31,tech.csv,,,USER-00984,Medium,,No,,Good,,Female,,Positive,5.06,,,6.62,Yes,5.06,
,1.13,7.7,26,6.78,tech.csv,,,USER-00985,Low,,No,,Good,,Female,,Positive,4.61,,,11.44,Yes,0.14,
,0.86,1.88,33,2.82,tech.csv,,,USER-00986,High,,Yes,,Good,,Female,,Negative,7.92,,,3.99,No,0.27,
,2.96,6.91,40,12.29,tech.csv,,,USER-00987,High,,No,,Excellent,,Male,,Positive,5.94,,,10.43,Yes,5.09,
,2.52,4.61,35,10.36,tech.csv,,,USER-00988,Medium,,Yes,,Excellent,,Male,,Negative,6.74,,,3.87,No,2.19,
,2.94,7.53,46,1.88,tech.csv,,,USER-00989,Medium,,Yes,,Excellent,,Female,,Negative,7.61,,,11.03,No,3.92,
,1.54,8.08,25,13.92,tech.csv,,,USER-00990,Medium,,Yes,,Fair,,Male,,Negative,6.02,,,10.21,No,3.07,
,0.78,8.33,18,14.29,tech.csv,,,USER-00991,High,,No,,Excellent,,Other,,Neutral,6.46,,,9.96,Yes,5.54,
,3.5,8.07,57,5.04,tech.csv,,,USER-00992,Medium,,No,,Poor,,Female,,Negative,5.67,,,3.64,No,5.06,
,0.48,9.77,42,11.78,tech.csv,,,USER-00993,High,,No,,Fair,,Other,,Negative,8.19,,,8.25,Yes,2.48,
,0.28,3.04,58,8.09,tech.csv,,,USER-00994,High,,No,,Poor,,Male,,Positive,8.61,,,10.25,Yes,1.93,
,3.8,5.36,31,9.14,tech.csv,,,USER-00995,High,,No,,Poor,,Other,,Negative,5.52,,,3.91,No,2.26,
,2.04,2.63,35,9.05,tech.csv,,,USER-00996,High,,Yes,,Excellent,,Other,,Neutral,8.18,,,9.5,Yes,3.47,
,2.99,6.31,60,7.36,tech.csv,,,USER-00997,Medium,,Yes,,Good,,Female,,Positive,5.05,,,8.04,No,0.89,
,2.52,3.74,22,9.8,tech.csv,,,USER-00998,Medium,,Yes,,Excellent,,Female,,Neutral,8.26,,,1.59,No,7.39,
,0.12,7.8,41,10.82,tech.csv,,,USER-00999,Medium,,No,,Fair,,Other,,Positive,8.41,,,10.61,No,4.4,
,4.36,7.45,61,1.21,tech.csv,,,USER-01000,High,,No,,Excellent,,Female,,Negative,8.33,,,1.61,Yes,0.45,
,1.67,0.61,30,4.71,tech.csv,,,USER-01001,Low,,No,,Good,,Female,,Positive,8.21,,,5.36,Yes,5.42,
,3.74,2.38,47,7.53,tech.csv,,,USER-01002,Medium,,Yes,,Fair,,Other,,Negative,5.6,,,6.72,No,3.89,
,2.71,3.7,44,1.81,tech.csv,,,USER-01003,Low,,No,,Fair,,Male,,Neutral,4.07,,,11.93,Yes,6.52,
,3.38,4.38,49,9.56,tech.csv,,,USER-01004,High,,Yes,,Poor,,Female,,Negative,7.14,,,2.46,No,4.85,
,1.43,5.61,25,10.33,tech.csv,,,USER-01005,Medium,,No,,Excellent,,Male,,Positive,6.29,,,11.51,Yes,6.59,
,0.21,4.8,64,14.21,tech.csv,,,USER-01006,Low,,Yes,,Excellent,,Other,,Negative,6.61,,,7.39,Yes,1.47,
,4.01,1.36,41,3.71,tech.csv,,,USER-01007,High,,Yes,,Excellent,,Male,,Positive,6.81,,,6.24,Yes,6.35,
,4.72,4.06,62,12.45,tech.csv,,,USER-01008,High,,Yes,,Good,,Male,,Neutral,7.12,,,11.59,Yes,0.39,
,0.9,6.58,39,8.03,tech.csv,,,USER-01009,High,,Yes,,Good,,Female,,Negative,6.65,,,5.04,No,4.87,
,2.69,4.49,53,13.56,tech.csv,,,USER-01010,Medium,,Yes,,Fair,,Female,,Negative,5.69,,,6.12,Yes,2.59,
,3.35,1.91,23,1.45,tech.csv,,,USER-01011,Medium,,Yes,,Poor,,Male,,Positive,7.48,,,10.0,Yes,2.43,
,3.81,6.0,25,13.61,tech.csv,,,USER-01012,Low,,No,,Excellent,,Female,,Neutral,5.89,,,6.43,No,0.79,
,2.7,6.26,26,1.83,tech.csv,,,USER-01013,High,,No,,Excellent,,Other,,Negative,5.68,,,7.14,Yes,4.38,
,4.48,6.3,23,2.34,tech.csv,,,USER-01014,Low,,Yes,,Poor,,Female,,Negative,7.81,,,4.82,Yes,5.84,
,2.9,5.27,60,14.56,tech.csv,,,USER-01015,High,,No,,Good,,Male,,Neutral,8.68,,,11.41,Yes,5.89,
,3.41,2.25,51,2.27,tech.csv,,,USER-01016,Low,,No,,Poor,,Female,,Positive,4.42,,,5.39,No,3.04,
,1.5,3.6,30,2.96,tech.csv,,,USER-01017,High,,No,,Fair,,Other,,Negative,6.67,,,7.16,Yes,0.17,
,4.17,5.46,57,12.69,tech.csv,,,USER-01018,High,,No,,Poor,,Other,,Negative,7.95,,,5.65,No,7.44,
,3.13,7.02,22,13.18,tech.csv,,,USER-01019,Low,,Yes,,Good,,Female,,Negative,5.31,,,6.38,No,1.31,
,2.77,0.06,41,13.3,tech.csv,,,USER-01020,Low,,Yes,,Poor,,Male,,Neutral,4.73,,,6.35,Yes,5.83,
,1.5,3.78,22,12.26,tech.csv,,,USER-01021,Medium,,No,,Good,,Male,,Positive,5.93,,,7.92,No,5.02,
,3.57,8.48,32,4.22,tech.csv,,,USER-01022,Low,,No,,Excellent,,Male,,Negative,4.21,,,8.61,Yes,3.66,
,1.07,6.5,55,3.2,tech.csv,,,USER-01023,High,,Yes,,Poor,,Male,,Positive,7.18,,,5.93,Yes,2.57,
,1.47,1.3,47,14.89,tech.csv,,,USER-01024,Low,,No,,Poor,,Male,,Negative,5.26,,,11.98,No,3.09,
,2.41,8.82,46,13.24,tech.csv,,,USER-01025,Low,,Yes,,Poor,,Male,,Negative,6.8,,,7.48,No,2.43,
,1.18,0.17,51,5.91,tech.csv,,,USER-01026,Low,,No,,Good,,Male,,Neutral,8.86,,,11.38,Yes,6.48,
,2.27,7.5,32,7.38,tech.csv,,,USER-01027,Low,,No,,Poor,,Other,,Positive,5.43,,,4.9,No,6.43,
,1.51,6.57,50,8.03,tech.csv,,,USER-01028,Low,,Yes,,Fair,,Male,,Negative,7.59,,,11.59,No,3.05,
,4.36,6.42,23,5.31,tech.csv,,,USER-01029,Low,,No,,Excellent,,Male,,Neutral,4.69,,,9.95,No,3.78,
,3.3,4.32,58,12.27,tech.csv,,,USER-01030,High,,Yes,,Fair,,Female,,Neutral,4.31,,,10.8,Yes,7.26,
,1.17,8.98,33,4.31,tech.csv,,,USER-01031,High,,Yes,,Poor,,Male,,Neutral,4.54,,,4.12,Yes,6.03,
,4.76,9.17,18,8.47,tech.csv,,,USER-01032,High,,No,,Excellent,,Male,,Neutral,7.85,,,5.64,No,6.21,
,3.45,4.66,38,7.51,tech.csv,,,USER-01033,High,,No,,Fair,,Male,,Neutral,5.39,,,3.89,Yes,2.22,
,3.28,6.15,37,13.8,tech.csv,,,USER-01034,Low,,Yes,,Excellent,,Female,,Neutral,8.91,,,11.35,No,1.51,
,4.96,8.09,30,10.98,tech.csv,,,USER-01035,Low,,Yes,,Good,,Female,,Negative,6.17,,,9.7,No,4.91,
,3.54,8.43,33,13.64,tech.csv,,,USER-01036,Low,,No,,Good,,Other,,Neutral,4.83,,,5.88,No,7.23,
,1.52,3.11,63,3.72,tech.csv,,,USER-01037,Medium,,No,,Fair,,Other,,Neutral,8.3,,,11.64,No,1.01,
,4.01,8.43,65,14.29,tech.csv,,,USER-01038,High,,Yes,,Fair,,Female,,Positive,7.2,,,10.07,Yes,6.54,
,2.56,8.49,58,13.38,tech.csv,,,USER-01039,Medium,,No,,Fair,,Other,,Positive,4.99,,,11.58,No,1.18,
,2.81,6.12,40,12.54,tech.csv,,,USER-01040,Low,,No,,Fair,,Female,,Negative,6.09,,,11.13,Yes,4.17,
,0.07,2.61,48,5.39,tech.csv,,,USER-01041,High,,No,,Good,,Other,,Negative,8.62,,,1.9,Yes,0.29,
,3.75,6.65,19,5.68,tech.csv,,,USER-01042,High,,No,,Excellent,,Male,,Positive,7.19,,,3.62,No,1.34,
,1.92,5.73,58,1.75,tech.csv,,,USER-01043,High,,No,,Fair,,Female,,Positive,8.75,,,1.65,Yes,6.09,
,0.65,2.09,31,3.9,tech.csv,,,USER-01044,Medium,,Yes,,Excellent,,Other,,Positive,6.86,,,7.8,Yes,5.41,
,0.15,8.06,44,3.8,tech.csv,,,USER-01045,Medium,,No,,Poor,,Female,,Negative,4.65,,,2.17,No,5.99,
,4.81,2.08,29,5.87,tech.csv,,,USER-01046,Medium,,No,,Excellent,,Female,,Positive,8.41,,,8.58,No,3.44,
,3.51,4.34,37,2.85,tech.csv,,,USER-01047,High,,No,,Fair,,Other,,Negative,4.14,,,10.1,Yes,1.82,
,2.41,6.47,21,1.91,tech.csv,,,USER-01048,Low,,No,,Excellent,,Male,,Positive,6.94,,,10.39,Yes,0.64,
,2.08,8.91,50,6.98,tech.csv,,,USER-01049,High,,Yes,,Good,,Male,,Positive,6.83,,,1.05,No,3.62,
,4.85,8.07,53,3.04,tech.csv,,,USER-01050,Medium,,Yes,,Fair,,Female,,Positive,6.67,,,3.8,Yes,4.67,
,4.48,7.51,63,2.32,tech.csv,,,USER-01051,High,,No,,Poor,,Female,,Neutral,7.92,,,11.47,No,4.57,
,4.05,8.44,36,6.52,tech.csv,,,USER-01052,Medium,,Yes,,Good,,Other,,Positive,5.4,,,8.97,Yes,3.02,
,4.93,6.61,23,5.05,tech.csv,,,USER-01053,Low,,Yes,,Fair,,Male,,Neutral,8.2,,,6.29,No,2.63,
,3.79,1.16,51,10.19,tech.csv,,,USER-01054,High,,No,,Poor,,Other,,Neutral,5.23,,,3.83,No,4.82,
,0.55,2.75,25,8.12,tech.csv,,,USER-01055,Low,,Yes,,Fair,,Female,,Positive,6.67,,,2.7,No,6.44,
,2.31,2.34,28,5.42,tech.csv,,,USER-01056,Medium,,Yes,,Fair,,Female,,Negative,8.37,,,2.81,No,1.07,
,3.27,3.84,40,14.8,tech.csv,,,USER-01057,Low,,Yes,,Fair,,Other,,Neutral,7.21,,,7.55,Yes,0.61,
,4.81,8.6,39,10.16,tech.csv,,,USER-01058,Low,,No,,Poor,,Female,,Neutral,8.94,,,9.39,Yes,2.81,
,3.93,0.91,62,3.76,tech.csv,,,USER-01059,Low,,Yes,,Fair,,Male,,Negative,7.01,,,1.79,Yes,3.42,
,2.1,6.94,19,7.66,tech.csv,,,USER-01060,High,,Yes,,Excellent,,Other,,Negative,8.23,,,10.53,Yes,6.06,
,0.88,4.7,23,5.04,tech.csv,,,USER-01061,Low,,No,,Excellent,,Male,,Negative,5.69,,,2.33,No,1.44,
,2.6,6.8,37,7.95,tech.csv,,,USER-01062,Low,,Yes,,Excellent,,Female,,Negative,4.0,,,4.46,No,5.65,
,4.17,1.26,58,9.22,tech.csv,,,USER-01063,High,,Yes,,Fair,,Male,,Neutral,7.19,,,11.96,No,5.77,
,4.25,1.54,61,15.0,tech.csv,,,USER-01064,Medium,,Yes,,Good,,Other,,Negative,5.97,,,5.75,Yes,1.98,
,1.42,5.48,60,9.42,tech.csv,,,USER-01065,Low,,No,,Fair,,Female,,Neutral,4.37,,,8.73,No,3.54,
,3.87,9.49,62,1.92,tech.csv,,,USER-01066,High,,No,,Good,,Other,,Positive,7.56,,,6.45,Yes,7.67,
,1.69,1.22,47,6.99,tech.csv,,,USER-01067,Medium,,Yes,,Poor,,Female,,Positive,5.5,,,10.22,No,5.38,
,0.6,9.21,41,5.35,tech.csv,,,USER-01068,Low,,Yes,,Poor,,Other,,Neutral,6.67,,,3.24,No,0.62,
,0.72,0.68,36,7.54,tech.csv,,,USER-01069,Medium,,No,,Poor,,Female,,Neutral,8.38,,,10.54,Yes,0.94,
,1.88,3.89,29,12.46,tech.csv,,,USER-01070,High,,Yes,,Excellent,,Other,,Negative,8.31,,,7.89,No,6.89,
,1.42,2.36,45,5.17,tech.csv,,,USER-01071,Medium,,Yes,,Excellent,,Other,,Positive,4.29,,,5.67,No,4.67,
,4.93,4.8,40,3.53,tech.csv,,,USER-01072,Low,,No,,Good,,Other,,Neutral,6.32,,,4.44,No,6.98,
,3.56,0.07,27,4.36,tech.csv,,,USER-01073,Low,,No,,Poor,,Male,,Positive,4.19,,,3.55,Yes,1.99,
,1.72,5.83,32,10.36,tech.csv,,,USER-01074,Low,,No,,Poor,,Other,,Positive,5.9,,,3.15,No,0.73,
,0.43,7.51,41,11.46,tech.csv,,,USER-01075,Low,,Yes,,Excellent,,Female,,Neutral,4.62,,,7.07,Yes,2.54,
,3.72,3.58,35,3.33,tech.csv,,,USER-01076,High,,Yes,,Fair,,Female,,Negative,5.22,,,7.53,Yes,0.65,
,0.24,1.42,40,10.44,tech.csv,,,USER-01077,Medium,,No,,Fair,,Other,,Negative,8.98,,,4.55,Yes,0.47,
,3.67,2.15,37,10.6,tech.csv,,,USER-01078,Low,,No,,Good,,Male,,Positive,6.92,,,4.52,Yes,0.98,
,4.56,9.17,57,7.47,tech.csv,,,USER-01079,Low,,No,,Excellent,,Female,,Negative,5.32,,,7.76,Yes,4.39,
,1.62,2.3,51,13.6,tech.csv,,,USER-01080,Low,,No,,Fair,,Male,,Neutral,7.79,,,4.84,Yes,2.28,
,1.7,5.69,64,6.12,tech.csv,,,USER-01081,Low,,No,,Fair,,Other,,Negative,5.71,,,9.25,Yes,2.85,
,3.18,1.2,21,4.6,tech.csv,,,USER-01082,Low,,No,,Poor,,Female,,Neutral,5.51,,,5.92,Yes,3.62,
,4.07,4.4,38,7.88,tech.csv,,,USER-01083,High,,Yes,,Good,,Other,,Positive,5.4,,,7.89,Yes,0.36,
,2.12,2.38,48,1.88,tech.csv,,,USER-01084,Medium,,No,,Good,,Male,,Neutral,5.06,,,1.44,Yes,1.61,
,2.8,5.86,31,5.47,tech.csv,,,USER-01085,Low,,No,,Fair,,Male,,Negative,5.86,,,3.78,Yes,0.57,
,0.69,5.52,43,9.54,tech.csv,,,USER-01086,High,,Yes,,Poor,,Female,,Negative,8.63,,,11.44,Yes,0.37,
,0.23,0.72,32,7.64,tech.csv,,,USER-01087,Medium,,No,,Poor,,Male,,Negative,5.59,,,2.74,Yes,0.16,
,2.05,5.23,48,10.7,tech.csv,,,USER-01088,Low,,Yes,,Excellent,,Other,,Positive,7.34,,,2.96,Yes,2.35,
,2.58,8.46,54,10.13,tech.csv,,,USER-01089,High,,Yes,,Fair,,Other,,Positive,4.29,,,9.38,No,5.11,
,2.86,8.02,57,13.34,tech.csv,,,USER-01090,Low,,Yes,,Poor,,Other,,Negative,6.41,,,8.21,Yes,2.95,
,4.9,7.74,25,13.5,tech.csv,,,USER-01091,Medium,,Yes,,Poor,,Male,,Neutral,5.81,,,5.69,No,2.68,
,4.59,1.78,63,1.78,tech.csv,,,USER-01092,Medium,,Yes,,Good,,Female,,Neutral,6.84,,,1.63,Yes,3.16,
,4.61,7.46,18,4.77,tech.csv,,,USER-01093,High,,No,,Excellent,,Other,,Neutral,8.08,,,6.16,Yes,2.52,
,2.82,5.98,22,2.29,tech.csv,,,USER-01094,Medium,,Yes,,Excellent,,Other,,Negative,7.37,,,2.07,No,5.05,
,4.27,7.81,20,7.6,tech.csv,,,USER-01095,Low,,Yes,,Excellent,,Female,,Neutral,7.14,,,9.06,No,3.21,
,3.58,4.05,27,7.64,tech.csv,,,USER-01096,High,,Yes,,Excellent,,Other,,Neutral,5.87,,,6.65,Yes,2.48,
,1.7,3.34,24,14.85,tech.csv,,,USER-01097,Low,,Yes,,Good,,Male,,Positive,8.0,,,7.38,No,6.66,
,0.09,8.68,33,13.91,tech.csv,,,USER-01098,Medium,,Yes,,Excellent,,Female,,Positive,6.68,,,8.79,No,2.85,
,3.25,5.14,30,3.81,tech.csv,,,USER-01099,Medium,,No,,Good,,Other,,Positive,4.48,,,6.12,Yes,6.62,
,3.27,3.21,21,7.17,tech.csv,,,USER-01100,High,,Yes,,Poor,,Male,,Neutral,6.67,,,11.03,Yes,1.51,
,3.17,1.41,18,8.4,tech.csv,,,USER-01101,Low,,Yes,,Poor,,Female,,Positive,7.64,,,8.22,No,0.51,
,4.84,0.78,46,12.15,tech.csv,,,USER-01102,Medium,,No,,Good,,Female,,Negative,5.73,,,5.51,Yes,1.22,
,2.27,6.36,36,5.02,tech.csv,,,USER-01103,Medium,,No,,Poor,,Male,,Negative,7.08,,,9.87,No,2.71,
,0.21,5.58,62,5.98,tech.csv,,,USER-01104,High,,No,,Excellent,,Other,,Positive,5.32,,,3.5,No,6.47,
,4.47,2.12,59,5.13,tech.csv,,,USER-01105,Low,,No,,Excellent,,Female,,Negative,4.9,,,1.71,No,7.39,
,1.28,6.97,48,7.53,tech.csv,,,USER-01106,Medium,,No,,Good,,Male,,Positive,5.27,,,3.91,Yes,7.97,
,0.23,2.85,49,12.15,tech.csv,,,USER-01107,High,,No,,Good,,Male,,Negative,7.38,,,6.87,Yes,7.36,
,0.93,1.9,25,1.39,tech.csv,,,USER-01108,Low,,No,,Excellent,,Male,,Neutral,7.04,,,8.76,No,6.98,
,0.65,4.83,57,1.52,tech.csv,,,USER-01109,High,,Yes,,Good,,Other,,Positive,6.03,,,9.41,Yes,7.38,
,2.22,2.27,64,6.33,tech.csv,,,USER-01110,Medium,,No,,Poor,,Male,,Negative,5.0,,,11.87,Yes,7.88,
,4.81,0.38,60,1.94,tech.csv,,,USER-01111,Low,,No,,Excellent,,Male,,Positive,5.59,,,1.27,No,4.64,
,0.58,1.65,18,12.27,tech.csv,,,USER-01112,Low,,Yes,,Fair,,Female,,Negative,4.6,,,1.59,No,2.09,
,3.71,3.11,19,3.54,tech.csv,,,USER-01113,Low,,Yes,,Good,,Male,,Negative,5.37,,,3.38,Yes,5.25,
,2.79,9.78,24,4.92,tech.csv,,,USER-01114,Medium,,Yes,,Fair,,Male,,Positive,8.46,,,11.21,No,3.78,
,2.03,9.88,22,2.39,tech.csv,,,USER-01115,High,,Yes,,Poor,,Male,,Negative,5.24,,,8.95,No,1.14,
,2.58,0.86,50,2.93,tech.csv,,,USER-01116,High,,Yes,,Fair,,Male,,Positive,6.56,,,7.4,No,4.06,
,2.83,7.52,41,2.74,tech.csv,,,USER-01117,Low,,No,,Good,,Male,,Neutral,6.26,,,1.58,Yes,3.72,
,1.33,4.02,40,7.3,tech.csv,,,USER-01118,Low,,No,,Excellent,,Male,,Negative,7.28,,,10.55,Yes,1.06,
,1.36,4.99,29,8.53,tech.csv,,,USER-01119,High,,Yes,,Poor,,Female,,Positive,6.78,,,9.01,No,1.8,
,2.44,6.22,33,12.2,tech.csv,,,USER-01120,Low,,Yes,,Fair,,Male,,Neutral,8.32,,,2.34,No,0.45,
,2.41,0.24,60,3.98,tech.csv,,,USER-01121,Medium,,Yes,,Excellent,,Other,,Positive,5.56,,,2.58,No,1.88,
,3.44,3.41,26,5.48,tech.csv,,,USER-01122,Medium,,No,,Good,,Male,,Neutral,7.95,,,1.74,No,3.81,
